original,replace,grep_pat
" SPR[[:alpha:]]{1,}F[[:alpha:]]{1,}D B.*$", SPRINGFIELD BLVD,
 D?E? ?KRU[[:alpha:]]F.*$, DE KRUIF PL,
 GLENN? S.*$, GLEN ST,
 GUS.*LE.*$, GUSTAVE L LEVY PL,
 COL.*BIA H.*T.*$, COLUMBIA HEIGHTS,
 FLATLANDS? A.*$, FLATLANDS AVENUE,
 CRO?SS ?BA?Y B.*, CROSS BAY BLVD,
 PINE? ?GR.*$, PINEGROVE ST,
 LIVERP.*$, LIVERPOOL ST,
 SHEEP.*$, SHEEPSHEAD BAY RD,
" LL[[:alpha:]]{1,} R.*$", LLOYD RD,
 BROOKHAV.*$, BROOKHAVEN AVE,
 BROOKE?V.*$, BROOKVILLE BLVD,
 REV.*JAME.*$, REV JAMES POLITE AVE,
(NEW)? UT.*T A.*$, NEW UTRECHT AVE,
 NO?R?T?H? PORTL.*$, N PORTLAND AVE,
 SO?U?T?H? PORTL.*$, S PORTLAND AVE,
 BRIGHTO?N? BE.*$, BRIGHTON BEACH AVE,
 KEW G.*$, KEW GARDENS RD,
" TEN ?EY[[:alpha:]]{1,} W.*$", TEN EYCK WALK,
" E[[:alpha:]]{1,}COMB.*$", EDGECOMBE AVE,
" BR[[:alpha:]]{1,}WATER A", BRIGHTWATER AVE,
 PO?R?T RICHMOND.*$, PORT RICHMOND AVE,
 WESTEND, WEST END,
 (FA?T?H?E?R CA)|(F?A?T?H?E?R?[[:space:]]CAPO).*$, FR CAPODANNO BLVD,
 (FA?T?H?E?R Z)|(F?A?T?H?E?R?[[:space:]]ZE?IE?SER).*$, FR ZEISER PL,
 MANHATTAN COL.*$, MANHATTAN COLLEGE PKWY,
 SEDG?E? ?WIC?K A.*$, SEDGEWICK AVE,
 HARRY DOUG.*$, HARRY DOUGLASS WAY,
 HOOK ?CREE.*$, HOOK CREEK BLVD,
 BRADLE?Y A.*$, BRADLEY AVE,
 TOMP?KINS A.*$, TOMPKINS AVE,
 STAGG? W.*$, STAGG WALK,
 SU.*P.*IN B.*$, SUTPHIN BLVD,
"((^| )[[:digit:]]{1,}) .*CATANZ.*$",\1 PRIVATE CATANZARO SQ,
 (REV)?[[:space:]]?(DR)?[[:space:]]?M(ARTIN)?[[:space:]]?L[[:space:]]?K(ING)?.*$, M L K BLVD,
 FR?A?N?C?I?S?.* (L.*S|LEW|LWS).*$, FRANCIS LEWIS BLVD,
 G.*BREW.*$, GUY R BREWER BOULEVARD,
 BE?E?A?CH.*CHAN.*$, BEACH CHANNEL DRIVE,
 ELDER L.*$, ELDERT LANE,
 WASH.* A.*$, WASHINGTON AVE,
 WASH.* W.*$, WASHINGTON WALK,
 F.*WAS.*$, FT WASHINGTON AVE,
" E[[:alpha:]]{1,} NE?W? ?YO?R?K?.*$", EAST NEW YORK AVE,
 E.*MOSH.*$, E MOSHOLU PKWY,
 W.*MOSH.*$, W MOSHOLU PKWY,
" FRA[[:alpha:]]{1,}L.N A.*$", FRANKLIN AVE,
" G[[:alpha:]]{1,}BORO.*$", GLASSBORO AVE,
 READE? S.*$, READE ST,
 E.*GUN.*$, E GUNHILL RD,
 RIVERSIDE D.*$, RIVERSIDE DR,
 UNIO.*P.*RT.*$, UNIONPORT RD,
 UNION T.*$, UNION TPKE,
 MIDD?(LE|EL)TOW?N S.*$, MIDDLETON ST,
 MIDD?(LE|EL)TOW?N R.*$, MIDDLETOWN RD,
 EASTERN.*P.*$, EASTERN PKWY,
 F.*INDEP.*$, FT INDEPENDENCE ST,
 PEN.*V.*A.*$, PENNSYLVANIA AVE,
 ROCK.*W.*Y.*P.*K.*$, ROCKAWAY PKWY,
 GRA.*N.*CO.*$, GRAND CONCOURSE,
 (A.*CLAYT.*$)|(ADAM .*$), ADAM C POWELL JR BLVD,
 FR.*SH.*PO.*$, FRESH POND RD,
 NASHV.*B.*$, NASHVILLE BLVD,
 COON?L?E?Y C,COONLEY COURT,
 R.*CK.*B.*CH.*B.*$, ROCKAWAY BEACH BLVD,
 ROCKA?WAY BE.*$, ROCKAWAY BEACH BLVD,
 K.*NG.*BR.* A.*$, KINGSBRIDGE AVE,
 K.*NG.*BR.* T.*$, KINGSBRIDGE TER,
 E(AST)? K.*NG.*BR.*$, E KINGSBRIDGE RD,
 W(EST)? K.*NG.*BR.*$, W KINGSBRIDGE RD,
 SH.*R.*FR.*$, SHORE FRONT PKWY,
 SCH.*F.*N.*P.*$, SCHIEFFELIN PL,
 SC?HEF?FE?L.N.*$, SCHEFFELIN AVE,
 R.*J.*POL.*$, REV JAMES POLITE AVE,
 UN.*V.*S.* A.*$, UNIVERSITY AVE,
 UN.*V.*S.* P.*$, UNIVERSITY PL,
 M.*T.*HOP.*, MT HOPE PL,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) A.*$,\1 AVE,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) C.*$,\1 CT,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) D.*$,\1 DR,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) L.*$,\1 LN,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) PA.*$,\1 PATH,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) PL.*$,\1 PL,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) R.*$,\1 RD,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) S.*$,\1 ST,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) T.*$,\1 TER,
^(.* (FI?R?ST|SECOND|THR?IR?D|F(OU|O)RTH|FIF?TH|SIXTH|SEVENTH|EIGHTH|NINE?TH)) W.*$,\1 WALK,
( |^)FI?R?ST( |$)|( |^)ONE( |$)|( |^)0NE( |$),1,
( |^)SECOND( |$)|( |^)TWO( |$),2,
( |^)TH(R|I).D( |$)|( |^)THREE( |$),3,
 FORTH HAMIL.*$, FT HAMILTON PKWY,
( |^)FOU?RTH( |$)|( |^)FOUR( |$),4,
( |^)FIF?TH( |$)|( |^)FIVE( |$),5,
( |^)SIXTH( |$)|( |^)SIX( |$),6,
( |^)SEVENTH( |$)|( |^)SEVEN( |$),7,
( |^)EIGHTH( |$)|( |^)EIGHT( |$),8,
( |^)NINE?TH( |$)|( |^)NINE( |$),9,
([0-9])(RD |TH |ST |ND ),\1 ,
" BAY ([[:digit:]]{1,3}) S.*$", BAY \1 ST,
" BE?A?E?CH ([[:digit:]]{1,3}).*$", BEACH \1 ST,
" BRI?GHTO?N ([[:digit:]]{1,}) C.*$", BRIGHTON \1 CT,
" BRI?GHTO?N ([[:digit:]]{1,}) L.*$", BRIGHTON \1 LN,
" BRI?GHTO?N ([[:digit:]]{1,}) PA.*$", BRIGHTON \1 PATH,
" BRI?GHTO?N ([[:digit:]]{1,}) PL.*$", BRIGHTON \1 PL,
" BRI?GHTO?N ([[:digit:]]{1,}) S.*$", BRIGHTON \1 ST,
